questionID,topicID,assignedDifficulty,modifiedDifficulty,categoryID,assignedCompletionTime,modifiedCompletionTime,question,code
"X'068AF8B6161B42D188554D2E72A680D7'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",45,45.00,"Which method in Java's Stack class is used to check if the stack is empty?",
"X'079EBBF49A804E428A41068070A08A4C'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,Which of the following statements about recursion in Java is true?,
"X'07BD9F95825B4D2496D53FDAF30C102B'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'417786202CD94EB89655C67365551278'",35,35.00,Which Java class is used to read and write compressed data streams using the ZLIB compression library?,
"X'09B7421C92C243E2A80AD32F6AA637BE'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",35,35.00,Which Java interface extends the Queue interface and adds support for operations that access elements at both ends of the queue?,
"X'09D22D2F959448E09DB77B4245467898'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,"What is the output of the following Java code?
try {
    int[] arr = new int[5];
    arr[10] = 7;
}
catch (ArrayIndexOutOfBoundsException e) {
    System.out.println(""Array index out of bounds."");
}
finally {
    System.out.println(""Finally block executed."");
}",
"X'09DD8F7502164FD9BFF3FDBA141C84FB'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",50,50.00,Which Java collection class provides an implementation of the Set interface?,
"X'0A2D93E4086342118C9859916B2F8D0F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",25,25.00,Which keyword is used to propagate an exception up the call stack in Java?,
"X'0A4CA3B4C132403F8E1F5A8C7B96F01E'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java method named 'validateUsername' that takes a string as input and throws an 'InvalidUsernameException' if the username is empty.",
"X'0AB613D80E184EE0A5AEDCEA439E0688'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,Which Java interface provides a double-ended queue that supports element insertion and removal at both ends?,
"X'0B2A5EF3D8A841B7B05225092F4F5A4E'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the given Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'0B31D20306B7440087AAFBC6870262FE'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the given Java code snippet. What will be the output of the function call for input 3?,"public int fibonacci(int n) {
    if (n <= 1)
        return n;
    else
        return fibonacci(n - 1) + fibonacci(n - 2);
}

System.out.println(fibonacci(3));"
"X'0B5DFA766C4C4B1199BB221F7D8820FD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",45,45.00,Explain the role of BufferedWriter class in Java.,
"X'0B97AA2433C947A68D07B63A6D12530F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,"Which method in Java's Queue interface is used to retrieve but not remove the head of the queue?",
"X'0BAE80CAFEE543E2981E9EF250DCA80E'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,"Consider the following recursive function in Java. What will be the output when calling mystery(4)?

```java
public int mystery(int n) {
    if (n == 0)
        return 1;
    else
        return mystery(n / 2);
}
```","public int mystery(int n) {
    if (n == 0)
        return 1;
    else
        return mystery(n / 2);
}"
"X'0BB7A32E166448F4ABB2229911929755'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",100,100.00,Write a recursive Java method to find the maximum element in an integer array.,"public class MaxElement {
    public int findMax(int[] arr, int index) {
        if (index == arr.length - 1)
            return arr[index];
        else
            return Math.max(arr[index], findMax(arr, index + 1));
    }
}"
"X'0C1A759D22724861ADBB918777678809'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",60,60.00,"What does the 'printStackTrace()' method of the Exception class in Java do?",
"X'0C31D0C7915F4D95AC436EB11FA61681'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,Which Java collection class provides a queue that orders elements based on their natural ordering or the ordering specified by a Comparator?,
"X'0C5E2D8E14204FE9AF9F7A70C8A4E742'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",35,35.00,What does the flush() method do in Java I/O?,
"X'0C6D72339A1C4CF5B14A2E48BE49BEAD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,"Consider the following Java code snippet. What will be the output of the code?

```java
Queue<Integer> queue = new LinkedList<>();
queue.add(1);
queue.add(2);
queue.add(3);
queue.peek();
System.out.println(queue);
```
","Queue<Integer> queue = new LinkedList<>();
queue.add(1);
queue.add(2);
queue.add(3);
queue.peek();
System.out.println(queue);"
"X'0C985B45667D44D2AA1F28CBEF8DC4E6'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,Analyze the following Java code snippet. What is the space complexity of the function?,"public int fibonacci(int n) {
    if (n <= 1)
        return n;
    else
        return fibonacci(n - 1) + fibonacci(n - 2);
}"
"X'0DDF0F723C4C41259B0DA739468FC582'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",45,45.00,"Which method in Java's LinkedList class is used to remove the last element of the list?",
"X'0E4A0ABBE6A8439C83DE0B73FEDAE739'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'417786202CD94EB89655C67365551278'",25,25.00,Which Java class provides methods to read from and write to the system console?,
"X'0E7FA347A8CA499998AC8E2FCA8CA244'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,Analyze the following Java code snippet and identify the potential error:,"public class ErrorAnalysis {
    public static void main(String[] args) {
        try {
            int[] arr = new int[5];
            System.out.println(arr[6]); // ArrayIndexOutOfBoundsException
        } catch (ArrayIndexOutOfBoundsException e) {
            System.out.println(""Array index out of bounds"");
        } catch (Exception e) {
            System.out.println(""Exception occurred: "" + e.getMessage());
        }
    }
}"
"X'0EB2672D57704C928721B1953E21BDFD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,"What is the purpose of the 'getMessage()' method in Java exceptions?",
"X'0F9BDA4DB477459B81E3A537841CABCE'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",45,45.00,What is the output of the following Java code?,"public class Main {
    public static void main(String[] args) {
        System.out.println(countDigits(12345));
    }

    public static int countDigits(int n) {
        if (n == 0)
            return 0;
        else
            return 1 + countDigits(n / 10);
    }
}"
"X'0FDA4670E97844F0A3523DF60928B3EA'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'417786202CD94EB89655C67365551278'",60,60.00,"Write a Java code snippet to insert an element at the front of a LinkedList named 'list'.",list.addFirst(element);
"X'10353E900E884134BC4BB64CBF00ADF5'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",45,45.00,What is the significance of ByteArrayOutputStream class in Java?,
"X'1155B603FB6C444692FE4E2E393AF061'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,"What is the time complexity of the following recursive function in terms of Big O notation?

```java
public int recursiveFunc(int n) {
    if (n <= 1)
        return n;
    else
        return recursiveFunc(n - 1) + recursiveFunc(n - 2);
}
```","public int recursiveFunc(int n) {
    if (n <= 1)
        return n;
    else
        return recursiveFunc(n - 1) + recursiveFunc(n - 2);
}"
"X'11F961DCD7A24CB69C22C22DC2E3A80E'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,"Which method in Java's Deque interface is used to insert an element at the front of the deque?",
"X'121B0B7C41F14F7B9EB4889BBA98DB6A'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'417786202CD94EB89655C67365551278'",60,60.00,Which of the following recursive functions correctly calculates the factorial of a number in Java?,
"X'131BB395AEEA4EB4B400D7C12B153F6D'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,"Consider the following recursive function in Java. What will be the output when calling mystery(4)?

```java
public int mystery(int n) {
    if (n == 0)
        return 1;
    else
        return mystery(n / 2);
}
```","public int mystery(int n) {
    if (n == 0)
        return 1;
    else
        return mystery(n / 2);
}"
"X'1387916F8079431BBFCB31330CFC4ADE'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",60,60.00,Which of the following statements about try-catch blocks in Java is true?,
"X'1437277BDA7E48B5891C7822A9B2548E'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",20,20.00,Which keyword is used to handle exceptions in Java?,
"X'146F55C32A67432B97E787A708F3CD63'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",35,35.00,What does the close() method do in Java I/O?,
"X'14AF3220745843CE9893847040AA4F14'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",45,45.00,Which Java interface provides a double-ended queue?,
"X'14C88E3038EB40418EC0D5AD8BCC0E5B'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",45,45.00,Which keyword is used to define an exception handler in Java?,
"X'14E4000564D746A780ADF46F14A551AB'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,Which data structure is best suited for managing function calls in a program?,
"X'1518F528C14B4C06A922220D2D34E4F5'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java method named 'checkNumber' that takes an integer as input and throws a 'NegativeNumberException' if the input is negative.",
"X'15D7FD52D1AB4B0CB988BD7A2B85BBF7'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",45,45.00,Compare and contrast the usage of FileInputStream and FileReader classes in Java.,
"X'15DE8BDE346D4D94BDDC14F22AEDA301'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",80,80.00,Write a Java method that recursively calculates the nth term of the Fibonacci sequence.,"public class Fibonacci {
    public int calculateFibonacci(int n) {
        if (n <= 1)
            return n;
        else
            return calculateFibonacci(n - 1) + calculateFibonacci(n - 2);
    }
}"
"X'162EC512C41843DC92686C2EC2F63E48'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the given Java code snippet. What will be the output of the function call for input 5?,"public int factorial(int n) {
    if (n <= 1)
        return 1;
    else
        return n * factorial(n - 1);
}

System.out.println(factorial(5));"
"X'17C6C671A4B741F8BDF0C8CBB39B9E1C'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,Which Java collection class provides a balanced binary tree implementation?,
"X'17F0477CFA8649EE952523CF37FA9644'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",30,30.00,What is the key characteristic of a recursive function?,
"X'18282A0FF7B04C21B6E3F48EC48471FE'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the following Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'184A15A1B7544EC1AD712FADF365CD27'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",35,35.00,Which Java interface provides a collection of elements with no duplicates and no specific order?,
"X'1938E25C004D4B01A1BDA6F7A819979F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",40,40.00,"What is the time complexity of the 'remove' operation in a LinkedList in Java?",
"X'194FDCB0B59A4756AB8005B433AB8BAC'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",50,50.00,Examine the usage of DataInputStream and DataOutputStream classes in Java for reading and writing binary data.,
"X'195AED44CA5B470FBF12531ABDD2098D'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",60,60.00,"What is the purpose of the 'getMessage()' method in Java exceptions?",
"X'195B4477A60D44C89E51BE8EAA9FB032'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",40,40.00,Explain the use of RandomAccessFile class in Java I/O.,
"X'195DA52ABCD743D7BBD59DF6551E07F9'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,Write a recursive function in Java to calculate the sum of all even numbers up to a given limit.,"public int evenSum(int n) {
    if (n <= 0)
        return 0;
    else
        return (n % 2 == 0 ? n : 0) + evenSum(n - 1);
}"
"X'1973D7C3169D4D74904B6B85A0D6F1FE'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,Create a recursive function in Java to find the sum of digits of a given number.,"public int digitSum(int n) {
    if (n == 0)
        return 0;
    else
        return n % 10 + digitSum(n / 10);
}"
"X'19DD91B3E54146119622197205848819'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",20,20.00,"What is the purpose of the 'finally' block in Java exception handling?",
"X'1AA3BB2616E2488DA370A27C2A94C5BA'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",15,15.00,Which keyword is used to catch exceptions in Java?,
"X'1C12013535CC406A8CE0595E67BD4EEF'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",20,20.00,Which keyword is used to propagate an exception up the call stack in Java?,
"X'1C9E61CF2ABE480AADF3F73A94427801'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,Which Java collection class provides a data structure that allows rapid retrieval of elements based on their keys?,
"X'1DDB42EA55764BCC892351348F1F4184'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,Analyze the given Java code and identify the potential error:,"public class ErrorAnalysis {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (Exception e) {
            System.out.println(""Exception occurred: "" + e.getMessage());
        }
    }

    public static int divide(int dividend, int divisor) {
        try {
            return dividend / divisor;
        } finally {
            System.out.println(""Finally block executed"");
        }
    }
}"
"X'1FC7379B5233412794A88523B2B0F308'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",55,55.00,What is the primary purpose of a base case in a recursive function?,
"X'1FFBD46A549749E29F1301B17C9F1E2E'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",45,45.00,Evaluate the usage of BufferedWriter and DataOutputStream classes in Java for handling output streams.,
"X'20071AA0AD2E44C6B2ED9F6BF1053E7A'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the given Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (Exception e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'20313CAD6C594731B2A0D10F20EEB43B'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",20,20.00,Which of the following is not a standard exception class in Java?,
"X'20664AD5FBC947A08F078BA91DF431AE'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,Analyze the given Java code snippet. What is the time complexity of the recursive function?,"public int fibonacci(int n) {
    if (n <= 1)
        return n;
    else
        return fibonacci(n - 1) + fibonacci(n - 2);
}"
"X'20955D041CC540E3B78B0A044C7E5833'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",70,70.00,Implement a recursive Java function to calculate the number of trailing zeroes in the factorial of a positive integer.,"public class TrailingZeroes {
    public int countTrailingZeroes(int n) {
        if (n < 5)
            return 0;
        else
            return n / 5 + countTrailingZeroes(n / 5);
    }
}"
"X'20C0F166647343B389659F7A15C18A65'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,What is the main advantage of using memoization in recursive algorithms?,
"X'221252B1E08948EAB6DD3BE259F022E2'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",45,45.00,Discuss the differences between FileOutputStream and FileWriter classes in Java.,
"X'222407E7D5CD42A0B5949AE8B5648A96'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",90,90.00,Implement a recursive Java function to check if a given string is a palindrome.,"public class PalindromeChecker {
    public boolean isPalindrome(String str) {
        if (str.length() <= 1)
            return true;
        else if (str.charAt(0) != str.charAt(str.length() - 1))
            return false;
        else
            return isPalindrome(str.substring(1, str.length() - 1));
    }
}"
"X'2432E5E95D684112831AB42D1CD96A5A'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",25,25.00,Which class in Java is used to write formatted data to an OutputStream?,
"X'248793793A2540E88BAE714595A9D896'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,"Consider the following Java code snippet. What will be the output of the code?

```java
List<String> list = new ArrayList<>();
list.add(""A"");
list.add(""B"");
list.add(""C"");
list.add(""D"");
list.remove(2);
System.out.println(list);
```
","List<String> list = new ArrayList<>();
list.add(""A"");
list.add(""B"");
list.add(""C"");
list.add(""D"");
list.remove(2);
System.out.println(list);"
"X'24922F314830467D89F69491DF05494F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java method named 'checkUsername' that takes a username as input and throws an 'InvalidUsernameException' if the username contains any special characters.",
"X'249B8BBA562A4040814B5C4E5DAA56C1'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the following Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'24B23912B61243EBB01AB6CA50EEA551'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,Analyze the provided Java code snippet. What is the time complexity of the recursive function?,"public int factorial(int n) {
    if (n <= 1)
        return 1;
    else
        return n * factorial(n - 1);
}"
"X'25877D0FB5464A9DAFA805CAA1D7DC73'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",120,120.00,Implement a recursive function in Java to generate all possible combinations of a given string.,"public void generateCombinations(String s, int index, String current, List<String> result) {
    if (index == s.length()) {
        result.add(current);
        return;
    }
    generateCombinations(s, index + 1, current + s.charAt(index), result);
    generateCombinations(s, index + 1, current, result);
}"
"X'258DFCFF389A43A5B3CED09C423793A0'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",60,60.00,What is the primary purpose of using try-catch blocks in Java?,
"X'259BA15D447549F5950C1C81730719E3'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'417786202CD94EB89655C67365551278'",60,60.00,Write a Java program to append text to an existing file.,"import java.io.FileWriter;
import java.io.BufferedWriter;
import java.io.IOException;

public class FileAppender {
    public static void main(String[] args) {
        try (BufferedWriter writer = new BufferedWriter(new FileWriter(""output.txt"", true))) {
            writer.write(""Appended text"");
            System.out.println(""Text appended successfully."");
        } catch (IOException e) {
            System.out.println(""Error appending text: "" + e.getMessage());
        }
    }
}"
"X'25A3E677735D473EA83633D9A89635CE'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java program that defines a custom exception 'InvalidInputException' and throws it when the user enters a negative number.",
"X'2679BAEF21DD40D1BF70BBC4D02A4BFB'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",25,25.00,Which of the following is used to check whether a file exists or not in Java?,
"X'278A89C47DFE48DA830117E1AF601A2A'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",20,20.00,Which method in Java is used to write a formatted string to a PrintWriter?,
